INSERT INTO IngredientItem (ingredientItemId, ingredientId, itemId) VALUES ('II001', 'GR001', 'MI001');
INSERT INTO IngredientItem (ingredientItemId, ingredientId, itemId) VALUES ('II002', 'GR001', 'MI012');
INSERT INTO IngredientItem (ingredientItemId, ingredientId, itemId) VALUES ('II003', 'GR002', 'MI001');
INSERT INTO IngredientItem (ingredientItemId, ingredientId, itemId) VALUES ('II004', 'GR002', 'MI025');
INSERT INTO IngredientItem (ingredientItemId, ingredientId, itemId) VALUES ('II005', 'GR003', 'MI001');
INSERT INTO IngredientItem (ingredientItemId, ingredientId, itemId) VALUES ('II006', 'GR003', 'MI015');
INSERT INTO IngredientItem (ingredientItemId, ingredientId, itemId) VALUES ('II007', 'GR004', 'MI001');
INSERT INTO IngredientItem (ingredientItemId, ingredientId, itemId) VALUES ('II008', 'GR005', 'MI001');
INSERT INTO IngredientItem (ingredientItemId, ingredientId, itemId) VALUES ('II009', 'GR005', 'MI041');
INSERT INTO IngredientItem (ingredientItemId, ingredientId, itemId) VALUES ('II010', 'GR006', 'MI001');
INSERT INTO IngredientItem (ingredientItemId, ingredientId, itemId) VALUES ('II011', 'GR006', 'MI022');
INSERT INTO IngredientItem (ingredientItemId, ingredientId, itemId) VALUES ('II012', 'GR007', 'MI001');
INSERT INTO IngredientItem (ingredientItemId, ingredientId, itemId) VALUES ('II013', 'GR008', 'MI001');
INSERT INTO IngredientItem (ingredientItemId, ingredientId, itemId) VALUES ('II014', 'GR009', 'MI001');
INSERT INTO IngredientItem (ingredientItemId, ingredientId, itemId) VALUES ('II015', 'GR010', 'MI001');
INSERT INTO IngredientItem (ingredientItemId, ingredientId, itemId) VALUES ('II016', 'GR011', 'MI001');
INSERT INTO IngredientItem (ingredientItemId, ingredientId, itemId) VALUES ('II017', 'GR011', 'MI031');
INSERT INTO IngredientItem (ingredientItemId, ingredientId, itemId) VALUES ('II018', 'GR012', 'MI002');
INSERT INTO IngredientItem (ingredientItemId, ingredientId, itemId) VALUES ('II019', 'GR012', 'MI044');
INSERT INTO IngredientItem (ingredientItemId, ingredientId, itemId) VALUES ('II020', 'GR013', 'MI003');
INSERT INTO IngredientItem (ingredientItemId, ingredientId, itemId) VALUES ('II021', 'GR013', 'MI037');
INSERT INTO IngredientItem (ingredientItemId, ingredientId, itemId) VALUES ('II022', 'GR014', 'MI003');
INSERT INTO IngredientItem (ingredientItemId, ingredientId, itemId) VALUES ('II023', 'GR015', 'MI012');
INSERT INTO IngredientItem (ingredientItemId, ingredientId, itemId) VALUES ('II024', 'GR015', 'MI021');
INSERT INTO IngredientItem (ingredientItemId, ingredientId, itemId) VALUES ('II025', 'GR016', 'MI003');
INSERT INTO IngredientItem (ingredientItemId, ingredientId, itemId) VALUES ('II026', 'GR017', 'MI003');
INSERT INTO IngredientItem (ingredientItemId, ingredientId, itemId) VALUES ('II027', 'GR018', 'MI003');
INSERT INTO IngredientItem (ingredientItemId, ingredientId, itemId) VALUES ('II028', 'GR019', 'MI003');
INSERT INTO IngredientItem (ingredientItemId, ingredientId, itemId) VALUES ('II029', 'GR020', 'MI003');
INSERT INTO IngredientItem (ingredientItemId, ingredientId, itemId) VALUES ('II030', 'GR021', 'MI001');
INSERT INTO IngredientItem (ingredientItemId, ingredientId, itemId) VALUES ('II031', 'GR022', 'MI001');
INSERT INTO IngredientItem (ingredientItemId, ingredientId, itemId) VALUES ('II032', 'GR022', 'MI019');
INSERT INTO IngredientItem (ingredientItemId, ingredientId, itemId) VALUES ('II033', 'GR023', 'MI008');
INSERT INTO IngredientItem (ingredientItemId, ingredientId, itemId) VALUES ('II034', 'GR023', 'MI042');
INSERT INTO IngredientItem (ingredientItemId, ingredientId, itemId) VALUES ('II035', 'GR024', 'MI008');
INSERT INTO IngredientItem (ingredientItemId, ingredientId, itemId) VALUES ('II036', 'GR025', 'MI008');
INSERT INTO IngredientItem (ingredientItemId, ingredientId, itemId) VALUES ('II037', 'GR026', 'MI001');
INSERT INTO IngredientItem (ingredientItemId, ingredientId, itemId) VALUES ('II038', 'GR027', 'MI001');
INSERT INTO IngredientItem (ingredientItemId, ingredientId, itemId) VALUES ('II039', 'GR027', 'MI035');
INSERT INTO IngredientItem (ingredientItemId, ingredientId, itemId) VALUES ('II040', 'GR028', 'MI001');
INSERT INTO IngredientItem (ingredientItemId, ingredientId, itemId) VALUES ('II041', 'GR029', 'MI001');
INSERT INTO IngredientItem (ingredientItemId, ingredientId, itemId) VALUES ('II042', 'GR030', 'MI001');
INSERT INTO IngredientItem (ingredientItemId, ingredientId, itemId) VALUES ('II043', 'GR031', 'MI001');
INSERT INTO IngredientItem (ingredientItemId, ingredientId, itemId) VALUES ('II044', 'GR031', 'MI017');
INSERT INTO IngredientItem (ingredientItemId, ingredientId, itemId) VALUES ('II045', 'GR032', 'MI001');
INSERT INTO IngredientItem (ingredientItemId, ingredientId, itemId) VALUES ('II046', 'GR033', 'MI001');
